scan_id,region,gics_sector,signal_name,raw_value,z_value
110,US,Energy,rs_momentum,99.668,-0.885115
110,US,Energy,rs_ratio,94.5671,-1.65572
110,US,Financials,above_200dma,0.0308212,-0.526327
110,US,Financials,above_50dma,0.0347477,0.596025
110,US,Financials,acceleration,-0.0560227,0.356154
110,US,Financials,breadth_above_50dma,0.684211,1.11591
110,US,Financials,ma50_slope,0.00132949,0.260272
110,US,Financials,obv_slope,0.0327442,2.23064
110,US,Financials,return_1m,0.0378934,0.852073
110,US,Financials,return_3m,0.093916,0.139094
110,US,Financials,return_6m,-0.00848524,-1.0872
110,US,Financials,rs_momentum,99.8945,-0.128227
110,US,Financials,rs_ratio,102.267,1.1899
110,US,Health Care,above_200dma,0.0343705,-0.473359
110,US,Health Care,above_50dma,0.039502,0.701461
110,US,Health Care,acceleration,-0.0361954,0.601313
110,US,Health Care,breadth_above_50dma,0.711864,1.19656
110,US,Health Care,ma50_slope,0.000590245,-0.170511
110,US,Health Care,obv_slope,0.0277665,1.89445
110,US,Health Care,return_1m,0.0275957,0.648658
110,US,Health Care,return_3m,0.0637912,-0.153289
110,US,Health Care,return_6m,0.00244038,-0.987007
110,US,Health Care,rs_momentum,99.7201,-0.711273
110,US,Health Care,rs_ratio,99.9342,0.327807
110,US,Industrials,above_200dma,0.107941,0.624592
110,US,Industrials,above_50dma,0.0384277,0.677637
110,US,Industrials,acceleration,-0.0498283,0.432746
110,US,Industrials,breadth_above_50dma,0.734177,1.26163
110,US,Industrials,ma50_slope,0.00140572,0.304693
110,US,Industrials,obv_slope,0.00349643,0.25529
110,US,Industrials,return_1m,0.0517167,1.12513
110,US,Industrials,return_3m,0.101545,0.213138
110,US,Industrials,return_6m,0.166313,0.515736
110,US,Industrials,rs_momentum,100.041,0.360792
110,US,Industrials,rs_ratio,101.715,0.986076
110,US,Materials,above_200dma,0.071461,0.0801687
110,US,Materials,above_50dma,0.000280535,-0.168349
110,US,Materials,acceleration,-0.0387787,0.569372
110,US,Materials,breadth_above_50dma,0.653846,1.02735
110,US,Materials,ma50_slope,0.000410026,-0.275531
110,US,Materials,obv_slope,0.0116727,0.807506
110,US,Materials,return_1m,0.0211034,0.520412
110,US,Materials,return_3m,0.0598822,-0.191228
110,US,Materials,return_6m,0.142736,0.299531
110,US,Materials,rs_momentum,99.9551,0.0742265
110,US,Materials,rs_ratio,100.389,0.496041
110,US,Real Estate,above_200dma,0.0717178,0.0840018
110,US,Real Estate,above_50dma,0.0150676,0.159582
110,US,Real Estate,acceleration,-0.10679,-0.271576
110,US,Real Estate,breadth_above_50dma,0.741935,1.28426
110,US,Real Estate,ma50_slope,0.00119566,0.182289
110,US,Real Estate,obv_slope,0.00170633,0.134389
110,US,Real Estate,return_1m,0.00763088,0.25428
110,US,Real Estate,return_3m,0.114421,0.33811
110,US,Real Estate,return_6m,0.133048,0.210694
110,US,Real Estate,rs_momentum,99.7682,-0.550208
110,US,Real Estate,rs_ratio,99.9268,0.325054
110,US,Technology,above_200dma,0.222326,2.33162
110,US,Technology,above_50dma,0.0489883,0.911839
110,US,Technology,acceleration,-0.33012,-3.033
110,US,Technology,breadth_above_50dma,0.594595,0.854552
110,US,Technology,ma50_slope,0.00560721,2.75306
110,US,Technology,obv_slope,-0.0029089,-0.177317
110,US,Technology,return_1m,0.0159558,0.418728
110,US,Technology,return_3m,0.346076,2.58648
110,US,Technology,return_6m,0.270916,1.47497
110,US,Technology,rs_momentum,100.229,0.989178
110,US,Technology,rs_ratio,99.3572,0.114542
110,US,Utilities,above_200dma,0.0354765,-0.456853
110,US,Utilities,above_50dma,0.0169371,0.201042
110,US,Utilities,acceleration,-0.00582729,0.976808
110,US,Utilities,breadth_above_50dma,0.903226,1.75465
110,US,Utilities,ma50_slope,-0.000730249,-0.940012
110,US,Utilities,obv_slope,0.0153115,1.05327
110,US,Utilities,return_1m,0.010602,0.31297
110,US,Utilities,return_3m,0.0164293,-0.612969
110,US,Utilities,return_6m,0.0907101,-0.177555
110,US,Utilities,rs_momentum,100.495,1.87813
110,US,Utilities,rs_ratio,100.963,0.708097
111,EU,Communication Services,above_200dma,0.0982909,0.48057
111,EU,Communication Services,above_50dma,-0.0245536,-0.719094
111,EU,Communication Services,acceleration,-0.102826,-0.222562
111,EU,Communication Services,breadth_above_50dma,,-0.881123
111,EU,Communication Services,ma50_slope,0.000280057,-0.351269
111,EU,Communication Services,obv_slope,0.00214857,0.164258
111,EU,Communication Services,return_1m,-0.0737225,-1.35274
111,EU,Communication Services,return_3m,0.0291038,-0.489953
111,EU,Communication Services,return_6m,0.221678,1.02345
111,EU,Communication Services,rs_momentum,99.8996,-0.111333
111,EU,Communication Services,rs_ratio,94.7944,-1.57173
111,EU,Consumer Discretionary,above_200dma,0.00833184,-0.861951
111,EU,Consumer Discretionary,above_50dma,0.0545007,1.03409
111,EU,Consumer Discretionary,acceleration,-0.0507952,0.42079
111,EU,Consumer Discretionary,breadth_above_50dma,,-0.881123
111,EU,Consumer Discretionary,ma50_slope,0.00126197,0.220928
111,EU,Consumer Discretionary,obv_slope,0.00218075,0.166431
111,EU,Consumer Discretionary,return_1m,0.049027,1.072
111,EU,Consumer Discretionary,return_3m,0.0998222,0.196417
111,EU,Consumer Discretionary,return_6m,-0.0517218,-1.48369
111,EU,Consumer Discretionary,rs_momentum,99.8389,-0.314148
111,EU,Consumer Discretionary,rs_ratio,100.836,0.661219
111,EU,Consumer Staples,above_200dma,0.0781962,0.180683
111,EU,Consumer Staples,above_50dma,0.0642657,1.25064
111,EU,Consumer Staples,acceleration,-0.0812462,0.0442714
111,EU,Consumer Staples,breadth_above_50dma,,-0.881123
111,EU,Consumer Staples,ma50_slope,0.000937351,0.0317599
111,EU,Consumer Staples,obv_slope,-0.00738034,-0.479311
111,EU,Consumer Staples,return_1m,0.0481777,1.05523
111,EU,Consumer Staples,return_3m,0.129424,0.483722
111,EU,Consumer Staples,return_6m,0.0747256,-0.324136
111,EU,Consumer Staples,rs_momentum,100.31,1.2615
111,EU,Consumer Staples,rs_ratio,100.322,0.471008
111,EU,Energy,above_200dma,0.0833606,0.257755
111,EU,Energy,above_50dma,-0.073867,-1.81271
111,EU,Energy,acceleration,-0.0195649,0.806946
111,EU,Energy,breadth_above_50dma,,-0.881123
111,EU,Energy,ma50_slope,-0.00146319,-1.36712
111,EU,Energy,obv_slope,-0.00404043,-0.253738
111,EU,Energy,return_1m,-0.0923573,-1.72084
111,EU,Energy,return_3m,-0.0727924,-1.47893
111,EU,Energy,return_6m,0.252425,1.30541
111,EU,Energy,rs_momentum,99.4109,-1.74464
111,EU,Energy,rs_ratio,94.2315,-1.77977
111,EU,Financials,above_200dma,0.174957,1.62471
111,EU,Financials,above_50dma,0.0772793,1.53925
111,EU,Financials,acceleration,-0.175424,-1.12022
111,EU,Financials,breadth_above_50dma,,-0.881123
111,EU,Financials,ma50_slope,0.00275683,1.09204
111,EU,Financials,obv_slope,-0.019959,-1.32886
111,EU,Financials,return_1m,0.0628147,1.34436
111,EU,Financials,return_3m,0.238239,1.53984
111,EU,Financials,return_6m,0.170311,0.552402
111,EU,Financials,rs_momentum,100.369,1.45606
111,EU,Financials,rs_ratio,104.724,2.09799
111,EU,Health Care,above_200dma,0.0277895,-0.571571
111,EU,Health Care,above_50dma,0.0334718,0.56773
111,EU,Health Care,acceleration,-0.0449791,0.492706
111,EU,Health Care,breadth_above_50dma,,-0.881123
111,EU,Health Care,ma50_slope,-0.000236047,-0.652022
111,EU,Health Care,obv_slope,-0.00207274,-0.120844
111,EU,Health Care,return_1m,0.0235126,0.568002
111,EU,Health Care,return_3m,0.0684917,-0.107667
111,EU,Health Care,return_6m,0.0334552,-0.702594
111,EU,Health Care,rs_momentum,100.23,0.993615
111,EU,Health Care,rs_ratio,99.2613,0.0791073
111,EU,Industrials,above_200dma,0.0583083,-0.116118
111,EU,Industrials,above_50dma,0.019604,0.260186
111,EU,Industrials,acceleration,-0.106942,-0.273447
111,EU,Industrials,breadth_above_50dma,,-0.881123
111,EU,Industrials,ma50_slope,0.00130684,0.247074
111,EU,Industrials,obv_slope,0.000109575,0.0265469
111,EU,Industrials,return_1m,0.00674389,0.236759
111,EU,Industrials,return_3m,0.113686,0.330971
111,EU,Industrials,return_6m,0.101374,-0.0797641
111,EU,Industrials,rs_momentum,100.25,1.06027
111,EU,Industrials,rs_ratio,100.163,0.412411
111,EU,Materials,above_200dma,0.106717,0.606323
111,EU,Materials,above_50dma,-0.0618518,-1.54625
111,EU,Materials,acceleration,-0.173085,-1.09129
111,EU,Materials,breadth_above_50dma,,-0.881123
111,EU,Materials,ma50_slope,0.00139556,0.298778
111,EU,Materials,obv_slope,-0.0161258,-1.06997
111,EU,Materials,return_1m,-0.0913682,-1.70131
111,EU,Materials,return_3m,0.0817164,0.0206875
111,EU,Materials,return_6m,0.222712,1.03293
111,EU,Materials,rs_momentum,99.4907,-1.47779
111,EU,Materials,rs_ratio,95.5258,-1.30141
111,EU,Real Estate,above_200dma,-0.029759,-1.43041
111,EU,Real Estate,above_50dma,-0.0301856,-0.843994
111,EU,Real Estate,acceleration,-0.0534437,0.388043
111,EU,Real Estate,breadth_above_50dma,,-0.881123
